request_ke,server_tujuan,waktu_detik,status
1,WEB SERVER 1 (i4-web-1),0.3089,OK
2,WEB SERVER 1 (i4-web-1),0.3175,OK
3,WEB SERVER 1 (i4-web-1),0.3191,OK
4,WEB SERVER 2 (i4-web-2),0.1114,OK
5,WEB SERVER 4 (i4-web-4),0.1118,OK
6,WEB SERVER 2 (i4-web-2),0.1138,OK
7,WEB SERVER 3 (i4-web-3),0.2115,OK
8,WEB SERVER 3 (i4-web-3),0.2188,OK
9,WEB SERVER 4 (i4-web-4),0.1077,OK
10,WEB SERVER 2 (i4-web-2),0.1056,OK
11,WEB SERVER 3 (i4-web-3),0.2060,OK
12,WEB SERVER 4 (i4-web-4),0.1086,OK
13,WEB SERVER 1 (i4-web-1),0.3050,OK
14,WEB SERVER 2 (i4-web-2),0.1112,OK
15,WEB SERVER 3 (i4-web-3),0.2078,OK
16,WEB SERVER 1 (i4-web-1),0.3093,OK
17,WEB SERVER 4 (i4-web-4),0.1045,OK
18,WEB SERVER 2 (i4-web-2),0.1070,OK
19,WEB SERVER 3 (i4-web-3),0.2035,OK
20,WEB SERVER 4 (i4-web-4),0.1037,OK
